,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
460,26236.2,9842431,equitrader,1512549567,2393413.00,,EquiTrader,0.5,4.73,-12.43,1.94E-05,0.243173,461,EQT,10942431
461,9801.96,117505568,worldcoin,1512549541,2362214.00,,WorldCoin,-5.66,-15.46,-10.57,1.61E-06,0.020103,462,WDC,117505568
462,30197.9,715868299,luckchain,1512549559,2349465.00,,LuckChain,-3.1,29.43,0.88,2.60E-07,0.00328198,463,BASH,715868299
463,2934.83,83444258,piplcoin,1512549587,2293165.00,7531907537,PiplCoin,0.24,-17.42,-11.3,2.20E-06,0.0274814,464,PIPL,7505026110
464,7743.39,15715900,zoin,1512549559,2209938.00,21000000,Zoin,-6.77,-2.53,12.22,1.12E-05,0.140618,465,ZOI,15715900
465,15043.6,6190179,fantomcoin,1512549545,2168686.00,,Fantomcoin,3.17,12.54,-6.92,2.80E-05,0.350343,466,FCN,6190179
466,11799.1,1000812836,zennies,1512549566,2143971.00,,Zennies,0.53,10.85,2.89,1.70E-07,0.00214223,467,ZENI,1000812836
467,2525.43,19779401,chips,1512549578,2128362.00,21000000,CHIPS,-4.17,-1.54,-31.8,8.60E-06,0.107605,468,CHIPS,19779401
468,1111.4,2110317,anoncoin,1512549541,2112385.00,,Anoncoin,6.23,81.13,122.7,8.00E-05,1.00098,469,ANC,2110317
469,7516.77,129618048,dnotes,1512549543,2104025.00,,DNotes,0.53,10.78,25.16,1.30E-06,0.0162325,470,NOTE,129618048
470,3198.24,60594811,cartaxi-token,1512549583,2047753.00,,CarTaxi Token,-0.39,8.14,17.79,2.70E-06,0.0337942,471,CTX,80506222
471,146263,2000000,legends-room,1512549568,2011620.00,,Legends Room,5.55,2.44,7.32,8.04E-05,1.00581,472,LGD,30000000
472,11610.2,36371825,megacoin,1512549541,1968429.00,42000000,Megacoin,-5.53,-26.51,-16.2,4.33E-06,0.0541196,473,MEC,36371825
473,9593.49,1.75528E+11,xp,1512549557,1966358.00,,XP,-0.3,14.56,59.41,9.00E-10,1.12E-05,474,XP,2.33729E+11
474,1376.26,50851160,visio,1512549570,1911587.00,,Visio,0.57,-18.12,0.85,3.00E-06,0.0375918,475,VISIO,62851160
475,132621,1894171,bytecent,1512549550,1878253.00,,Bytecent,5.83,22.03,38.81,7.93E-05,0.991596,476,BYC,1894171
476,18528.2,2440436,sumokoin,1512549569,1875331.00,88888888,Sumokoin,-2.37,-0.02,-13.25,6.14E-05,0.768441,477,SUMO,11329325
477,6585.92,4464936,tracto,1512549582,1852564.00,,Tracto,2.69,-8.2,-34.29,3.32E-05,0.414914,478,TRCT,70000000
478,16635.8,66610820,interstellar-holdings,1512549584,1842215.00,2000000000,Interstellar Holdings,-9.91,-1.36,1.95,2.21E-06,0.0276564,479,HOLD,107665522
